Header,Bifidobacterium_adolescentis_ATCC_15703,Bifidobacterium_adolescentis_ATCC_15703,Bifidobacterium_bifidum_PRL2010,Bifidobacterium_bifidum_PRL2010,Bifidobacterium_longum_NCC2705,Bifidobacterium_longum_NCC2705,Collinsella_tanakaei_YIT_12063,Collinsella_tanakaei_YIT_12063,Alistipes_finegoldii_DSM_17242,Alistipes_finegoldii_DSM_17242,Alistipes_putredinis_DSM_17216,Alistipes_putredinis_DSM_17216,Alistipes_shahii_WAL_8301,Alistipes_shahii_WAL_8301,Bacteroides_caccae_ATCC_43185,Bacteroides_caccae_ATCC_43185,Bacteroides_coprocola_M16_DSM_17136,Bacteroides_coprocola_M16_DSM_17136,Bacteroides_eggerthii_DSM_20697,Bacteroides_eggerthii_DSM_20697,Bacteroides_fragilis_NCTC_9343,Bacteroides_fragilis_NCTC_9343,Bacteroides_intestinalis_341_DSM_17393,Bacteroides_intestinalis_341_DSM_17393,Bacteroides_stercoris_ATCC_43183,Bacteroides_stercoris_ATCC_43183,Bacteroides_thetaiotaomicron_VPI_5482,Bacteroides_thetaiotaomicron_VPI_5482,Bacteroides_uniformis_ATCC_8492,Bacteroides_uniformis_ATCC_8492,Parabacteroides_distasonis_ATCC_8503,Parabacteroides_distasonis_ATCC_8503,Parabacteroides_johnsonii_DSM_18315,Parabacteroides_johnsonii_DSM_18315,Prevotella_ruminicola_23,Prevotella_ruminicola_23,Acidaminococcus_fermentans_DSM_20731,Acidaminococcus_fermentans_DSM_20731,Blautia_wexlerae_DSM_19850,Blautia_wexlerae_DSM_19850,Clostridium_clostridioforme_CM201,Clostridium_clostridioforme_CM201,Coprococcus_catus_GD_7,Coprococcus_catus_GD_7,Dialister_invisus_DSM_15470,Dialister_invisus_DSM_15470,Dorea_longicatena_DSM_13814,Dorea_longicatena_DSM_13814,Enterococcus_faecium_TX1330,Enterococcus_faecium_TX1330,Eubacterium_rectale_M104_1,Eubacterium_rectale_M104_1,Faecalibacterium_prausnitzii_L2_6,Faecalibacterium_prausnitzii_L2_6,Lactobacillus_mucosae_LM1,Lactobacillus_mucosae_LM1,Lactobacillus_reuteri_SD2112_ATCC_55730,Lactobacillus_reuteri_SD2112_ATCC_55730,Megasphaera_elsdenii_DSM_20460,Megasphaera_elsdenii_DSM_20460,Phascolarctobacterium_succinatutens_YIT_12067,Phascolarctobacterium_succinatutens_YIT_12067,Pseudoflavonifractor_capillosus_strain_ATCC_29799,Pseudoflavonifractor_capillosus_strain_ATCC_29799,Roseburia_intestinalis_L1_82,Roseburia_intestinalis_L1_82,Roseburia_inulinivorans_DSM_16841,Roseburia_inulinivorans_DSM_16841,Ruminococcus_bromii_L2_63,Ruminococcus_bromii_L2_63,Ruminococcus_callidus_ATCC_2776001,Ruminococcus_callidus_ATCC_2776001,Ruminococcus_torques_ATCC_27756,Ruminococcus_torques_ATCC_27756,Streptococcus_salivarius_JIM8777,Streptococcus_salivarius_JIM8777,Subdoligranulum_variabile_DSM_15176,Subdoligranulum_variabile_DSM_15176,Veillonella_atypica_ACS_049_V_Sch6,Veillonella_atypica_ACS_049_V_Sch6,Bilophila_wadsworthia_3_1_6,Bilophila_wadsworthia_3_1_6,Citrobacter_amalonaticus_Y19,Citrobacter_amalonaticus_Y19,Desulfovibrio_desulfuricans_subsp_desulfuricans_DSM_642,Desulfovibrio_desulfuricans_subsp_desulfuricans_DSM_642,Desulfovibrio_piger_ATCC_29098,Desulfovibrio_piger_ATCC_29098,Enterobacter_cloacae_EcWSU1,Enterobacter_cloacae_EcWSU1,Escherichia_coli_str_K_12_substr_MG1655,Escherichia_coli_str_K_12_substr_MG1655,Haemophilus_parainfluenzae_T3T1,Haemophilus_parainfluenzae_T3T1,Helicobacter_pylori_26695,Helicobacter_pylori_26695,Klebsiella_pneumoniae_pneumoniae_MGH78578,Klebsiella_pneumoniae_pneumoniae_MGH78578,Shigella_flexneri_2002017,Shigella_flexneri_2002017,Akkermansia_muciniphila_ATCC_BAA_835,Akkermansia_muciniphila_ATCC_BAA_835,Fusobacterium_varium_ATCC_27725,Fusobacterium_varium_ATCC_27725
9,HEPT4,51,O2tex,51,3HACPR1,51,G5SADs,29,ORNtex,51,OMCDC,51,PPCKr,51,PGAMT,51,GLYCtpp,51,MNt2,51,UACMAMAT,51,MALCOAPYRCT,51,OMPHHX3,51,GLYMETabcpp,51,OHPHM,51,MNabc,51,LYSabc,51,PAAI17P,51,KAS17rev,51,H2CO3D,51,HISt2r,51,GMHEPK,51,PGPP180,51,GMHEPK,51,MALCOAPYRCT,51,LYS_Ltex,51,MG2tex,51,METALAtex,51,NNDPR,51,PGPGT,51,PGPGT,51,MCOATA,51,KDOPSr,51,IPDPUPT,51,MN2tex,51,Ktex,51,DAPDC,51,Kt1rpp,51,MOAT,51,FCLTc,51,IG3PS,51,MNabcpp,51,MAN6Ptex,51,MNt2pp,51,GTPCII,51,MALT,51,PGPGT,51,OIVD3,51,LEUTA,32,LMNepp,51,GLYMETabc,51,IPPMIb,51
10,HEPT3,51,MOHMT,51,MEOHt2pp,51,G5SDr,29,ILE_Ltex,51,OCDCAtr,51,PPM,51,PFL,51,MNabcpp,51,MTAN,51,MG2abc,51,MG2abcpp,51,OPHBDC,51,H2Otpp,51,OIVD1r,51,NACt2r,51,OMPDC,51,OPHHX3,51,KAS14,51,GMHEPPA,51,HSK,51,MNt2pp,51,PGSA180,51,MN2tex,51,MCOATA,51,LYSt3rpp,51,MN2tex,51,PItex,51,NTD4,51,PHEt2r,51,STYSabc,51,ME2,51,Ktex,51,IVCOATA,51,MOAT,51,KESTOPTtex,51,TKT1,51,MN2tex,51,MOAT3C,51,EAR80x,51,HSTPTr,51,NACtex,51,DHNPA,51,MTHFD,51,H2CO3D,51,MALTTRabcpp,51,PGCDr,51,PAAI17P,51,IPMDr,32,3HAD160,51,MNt2,51,IPPMIa,51
11,HEPT2,51,MOAT3C,51,MEOHtex,51,GLU5K,29,HISt2rpp,51,OCBT,51,RNTR1,51,P5CRyr,51,RNTR4,51,MTHFD,51,THRD_L,51,NNDMBRT,51,PAAI17P,51,LYSt2rpp,51,OIVD3,51,NAPRT,51,NTD5_a,51,OPHBDC,51,INDOLEtex,51,GMHEPK,51,TAGURr,51,MOAT,51,PHETA1,51,MNt2pp,51,MECDPDH2,51,MCOATA,51,MNt2pp,51,MG2tex,51,OCBT,51,PIabc,51,PFL,51,MG2abcpp,51,L2A6OD2s,51,KAS14,51,MOAT3C,51,KESTOPTASEepp,51,MALTTRabc,51,MNt2pp,51,MOHMT,51,EAR7M8x,51,HSPGtex,51,MALT6PH,51,MAN6Pt6_2pp,51,GTPCI,51,HEMEtipp,51,MET_Ltex,51,NNDPR,51,PAI17P,51,IPPMIa,32,LMN2epp,51,METAT,51,IPMDr,51
12,HEPT1,51,MOAT,51,MET_Ltex,51,P5CRyr,29,HIS_Ltex,51,NTD4,51,RNTR2,51,ORNt,51,TALA,51,GTPCI,51,NACt2r,51,OCDCAt2pp,51,G3PATI17,51,GARFTi,51,OMBZLM,51,PGPGT,51,NMNP,51,OMPHHX3,51,INDOLEt2rpp,51,GMHEPAT,51,IMPD,51,MOAT3C,51,PPNDH,51,MOAT,51,MECDPS,51,MG2tex,51,MOAT,51,MN2tex,51,OCDCAtr,51,PMEVKc,51,ORNTAC,51,MG2tex,51,LPADSS,51,KDOCT2,51,NACabcpp,51,KDOPSr,51,RNTR3,50,MOAT,51,NNATr,51,3HAD120,51,HISTP,51,MALTptspp,51,TREtex,51,NNDMBRT,51,SHEMEabcpp,51,MLTG1,51,NNATr,51,r2137,51,P5CRyr,24,IPDPUPT,51,LYSt2r,51,ILETA,51
13,HEPK2,51,MNt2pp,51,MG2tex,51,PGM,25,H2CO3D,51,NAPRT,51,SHSL1r,51,NAPRT,51,TMDSf2,51,NACt2r,51,TECA4S,51,OCDCAtex,51,PAI17P,51,MANptspp,51,OMPHHX3,51,PPCKr,51,NAPRT,51,OMMBLHX3,51,ILEt2rpp,51,GLYC3Ptex,51,RPE,51,MOHMT,51,PPTT,51,MOAT3C,51,MEPCT,51,MN2tex,51,MOAT3C,51,MNabcpp,51,OIVD1r,51,PNTOabc,51,ACHBPL,51,MN2tex,51,MCOATA,51,KDOPSr,51,NACtex,51,KDOPP,51,ALAGLNabc,50,MOAT3C,51,NNDPR,51,EAR5M6x,51,G5SDr,51,NACt2rpp,51,ICHORS,51,OHPBAT,51,Q8abcpp,51,NCPTRCA,51,MNabc,51,PNTOabc,51,GLU5K,24,IMPD,51,LARGNAT,51,IGPS,51
14,HEPK1,51,MN2tex,51,MN2tex,51,PGK,25,GLYLEUtex,51,NACabc,51,SO4t2,51,NADS1,51,ZNabcpp,51,NAPRT,51,TECAUE,51,OIVD1r,51,PGPGT,51,MNabcpp,51,GGTT,51,PYDXtr,51,MNabc,51,NNAM,51,HYD4,51,GLYC3Pabcpp,51,GALU,51,NACt2rpp,51,PRAI,51,MOHMT,51,METFR,51,MNt2pp,51,MOHMT,51,MOAT,51,OIVD3,51,PYDXK,51,NMNAT,51,MNabcpp,51,METFR,51,GTPCII,51,NAPRT,51,KDOCT2,51,ALAGLN1c,50,MOHMT,51,O2tex,51,EAR4M6x,51,HEX10,51,METALA1c,51,TREptspp,51,OHPHM,51,PYDXNtrpp,51,PGPP180,51,MLTG1,51,r0792,51,G5SDr,24,IMPC,51,IGPS,51,GLYMETabc,51
15,GTPCII,51,MG2tex,51,MNt2pp,51,GAPD,25,GLYLEUPEPT1tcpp,51,MTAN,51,SUCCt2r,51,ACGAMT,51,biomass525,51,NNDMBRT,51,P5CRyr,51,OIVD3,51,PGPP180,51,PDX5PS,51,OPHBDC,51,RPE,51,METALAabc,51,NCAMt2r,51,HBZOPT,51,GLUTRR,51,MNabc,51,NACtex,51,PSCVT,51,NACt2rpp,51,METS,51,MOAT,51,NACt2rpp,51,MOAT3C,51,ORNTAC,51,PYDXtr,51,MTHFD,51,MOAT,51,MG2tex,51,Kt1rpp,51,KDOCT2,51,HEPT4,51,IMPD,49,MQN8tex,51,O2tpp,51,EAR40x,51,HEPARL1_epp,51,ADK10,51,MAN6PI,51,OIVD1r,51,PRPPS,51,NNATr,51,MALTTRabc,51,PGPGT,51,G5SADs,24,IGPDH,51,HSK,51,3MOBS,51
16,GMHEPPA,51,MALCOAPYRCT,51,MOAT,51,ENO,25,OCBT,51,MK8t,51,SUCOAS1,51,MTHFD,51,GLYGLN1c,51,NTD4,51,PGPGT,51,ORNDC,51,PGPPAI17,51,THR_Ltex,51,OPHHX3,51,SERt2r,51,SUCCt2r,51,MLTG1,51,EAR8M10x,51,EDTXS2,51,NACUP,51,KDOPP,51,PYDXabc,51,KDOPSr,51,MK8tpp,51,MOAT3C,51,NACtex,51,OCOAT1r,51,PAAI17P,51,PYK,51,MTHFC,51,MOAT3C,51,MN2tex,51,Ktex,51,NNDMBRT,51,HEPT3,51,H2Ot,48,Ktex,51,OHPBAT,51,EAR180x,51,TMDS,51,PGK,51,TRDRr,51,OIVD3,51,PROt4rpp,51,NNDMBRT,51,MALT,51,PGPP180,51,DHAD2,24,IG3PS,51,SHKK,51,GLYCYSabc,51
17,GMHEPK,51,LYSt3rpp,51,MOAT3C,51,DHORTS,24,PHE_Ltex,51,PPNDH,51,TECA4S,51,SO4t2,51,GLYGLNtex,51,OHPHM,51,PLPS,51,GCALDtpp,51,PGPPI17,51,THRt2rpp,51,PAAI17P,51,SO4t2,51,TECA4S,51,MALTTRabc,51,H2CO3D,51,GLUPRT,51,NAt3_1,51,KDOCT2,51,OMPHHX3,51,KDOPP,51,IPPMIb,51,Htex,51,KAS14,51,ORNTA,51,PAI17P,51,SERt2r,51,MNabc,51,KAS14,51,MNabcpp,51,LPADSS,51,OCDCAt2pp,51,HEPT2,51,MLTG1,46,KDOPSr,51,OMCDC,51,EAR15M16x,51,GLYAT,51,FE3abcpp,51,KDOPP,51,OPHBDC,51,IPDPUPT,51,NNDPR,51,Kt1r,51,PGPPAI17,51,ILETA,23,HSTPTr,51,SO4t2,51,GLYASPabc,51
18,GMHEPAT,51,LYS_Ltex,51,MOHMT,51,ASPCT,24,GLYCL,51,METALAabc,51,TECAAE,51,TECA4S,51,GLYCtex,51,OIVD1r,51,PPCKr,51,GCALDtex,51,PGSA180,51,THZPSN,51,PAI17P,51,STYSGH,51,TECAAE,51,LYSt2r,51,GTHRD,51,GLCTR3,51,RNTR3,51,KAS14,51,OMMBLHX3,51,KDOCT2,51,MN2tex,51,HSK,51,IMPC,51,KDOPSr,51,PANTS,51,SO4t2,51,STYSGH,51,IPDDI,51,MOAT,51,MCOATA,51,OCDCAtex,51,HEPT1,51,UAGDP,44,NACt2rpp,51,PANTS,51,EAR14M16x,51,GLU5K,51,ARGDA,51,MTHFD,51,P1CM,51,LYSt3rpp,51,NPHS,51,IPDPS2,51,PGPPI17,51,ACHBPL,23,HISTP,51,TECA4S,51,GLYASP1c,51
19,GLYTYRtex,51,LPADSS,51,NACt2rpp,51,DHORDfum,24,RIBFLVtex,51,METALA1c,51,TECAGE,51,TECAAE,51,Coabcpp,51,OIVD3,51,TECAGE,51,G3PATI17,51,PGSAAI17,51,TMPPP,51,PGM,51,STYSabc,51,TECAGE,51,IHDUDPMG,51,3HAD100,51,GLCTR2,51,PECTIN_DEGe,51,IMPC,51,OMCDC,51,KAS14,51,MNt2pp,51,HEPT4,51,IGPDH,51,KDOPP,51,PFK,51,TECA4S,51,SUCCt2r,51,IMPD,51,MOAT3C,51,METALAabcpp,51,OHPHM,51,HEPK2,51,G1PACT,44,HEPK2,51,LYS_Ltex,51,GLUTRS,51,GLNS,51,FE2abcpp,51,KDOPSr,51,PERD,51,MLTG1,51,O2tex,51,IGPDH,51,PGSA180,51,THRS,11,HEX10,51,TECAAE,51,UAG4E,51
20,GLYTYRabcpp,51,Ktex,51,NACtex,51,OMPDC,24,biomass310,51,LARGNAT,51,TECAUE,51,UAGDP,51,CYTK1,51,OMBZLM,51,TECAAE,51,2MBCOATA,51,PGSAI17,51,VPAMTr,51,PGPGT,51,TECA4S,51,TECAUE,51,IHDUDPG,51,GTHOXtex,51,GLCTR1,51,RNTR2,51,IGPDH,51,MK7te,51,IGPS,51,MOAT,51,H2CO3D,51,HEPT1,51,KDOCT2,51,PFL,51,TECAAE,51,L_AROND,51,HEPK2,51,MTAN,51,METALAtex,51,OIVD1r,51,HEPK1,51,GF6PTA,44,GLYCtpp,51,LEUTA,51,KAS14,51,GAPD,51,ADK3,51,SHCHCS3,51,HBZOPT,51,NACt2rpp,51,O2tpp,51,IG3PS,51,PGSAAI17,51,HSK,11,HEMEtipp,51,TECAGE,51,GALT,51
