Header,Bifidobacterium_adolescentis_ATCC_15703,Bifidobacterium_adolescentis_ATCC_15703,Bifidobacterium_bifidum_PRL2010,Bifidobacterium_bifidum_PRL2010,Bifidobacterium_longum_NCC2705,Bifidobacterium_longum_NCC2705,Collinsella_tanakaei_YIT_12063,Collinsella_tanakaei_YIT_12063,Alistipes_finegoldii_DSM_17242,Alistipes_finegoldii_DSM_17242,Alistipes_putredinis_DSM_17216,Alistipes_putredinis_DSM_17216,Alistipes_shahii_WAL_8301,Alistipes_shahii_WAL_8301,Bacteroides_caccae_ATCC_43185,Bacteroides_caccae_ATCC_43185,Bacteroides_coprocola_M16_DSM_17136,Bacteroides_coprocola_M16_DSM_17136,Bacteroides_eggerthii_DSM_20697,Bacteroides_eggerthii_DSM_20697,Bacteroides_fragilis_NCTC_9343,Bacteroides_fragilis_NCTC_9343,Bacteroides_intestinalis_341_DSM_17393,Bacteroides_intestinalis_341_DSM_17393,Bacteroides_stercoris_ATCC_43183,Bacteroides_stercoris_ATCC_43183,Bacteroides_thetaiotaomicron_VPI_5482,Bacteroides_thetaiotaomicron_VPI_5482,Bacteroides_uniformis_ATCC_8492,Bacteroides_uniformis_ATCC_8492,Parabacteroides_distasonis_ATCC_8503,Parabacteroides_distasonis_ATCC_8503,Parabacteroides_johnsonii_DSM_18315,Parabacteroides_johnsonii_DSM_18315,Prevotella_ruminicola_23,Prevotella_ruminicola_23,Acidaminococcus_fermentans_DSM_20731,Acidaminococcus_fermentans_DSM_20731,Blautia_wexlerae_DSM_19850,Blautia_wexlerae_DSM_19850,Clostridium_clostridioforme_CM201,Clostridium_clostridioforme_CM201,Coprococcus_catus_GD_7,Coprococcus_catus_GD_7,Dialister_invisus_DSM_15470,Dialister_invisus_DSM_15470,Dorea_longicatena_DSM_13814,Dorea_longicatena_DSM_13814,Enterococcus_faecium_TX1330,Enterococcus_faecium_TX1330,Eubacterium_rectale_M104_1,Eubacterium_rectale_M104_1,Faecalibacterium_prausnitzii_L2_6,Faecalibacterium_prausnitzii_L2_6,Lactobacillus_mucosae_LM1,Lactobacillus_mucosae_LM1,Lactobacillus_reuteri_SD2112_ATCC_55730,Lactobacillus_reuteri_SD2112_ATCC_55730,Megasphaera_elsdenii_DSM_20460,Megasphaera_elsdenii_DSM_20460,Phascolarctobacterium_succinatutens_YIT_12067,Phascolarctobacterium_succinatutens_YIT_12067,Pseudoflavonifractor_capillosus_strain_ATCC_29799,Pseudoflavonifractor_capillosus_strain_ATCC_29799,Roseburia_intestinalis_L1_82,Roseburia_intestinalis_L1_82,Roseburia_inulinivorans_DSM_16841,Roseburia_inulinivorans_DSM_16841,Ruminococcus_bromii_L2_63,Ruminococcus_bromii_L2_63,Ruminococcus_callidus_ATCC_2776001,Ruminococcus_callidus_ATCC_2776001,Ruminococcus_torques_ATCC_27756,Ruminococcus_torques_ATCC_27756,Streptococcus_salivarius_JIM8777,Streptococcus_salivarius_JIM8777,Subdoligranulum_variabile_DSM_15176,Subdoligranulum_variabile_DSM_15176,Veillonella_atypica_ACS_049_V_Sch6,Veillonella_atypica_ACS_049_V_Sch6,Bilophila_wadsworthia_3_1_6,Bilophila_wadsworthia_3_1_6,Citrobacter_amalonaticus_Y19,Citrobacter_amalonaticus_Y19,Desulfovibrio_desulfuricans_subsp_desulfuricans_DSM_642,Desulfovibrio_desulfuricans_subsp_desulfuricans_DSM_642,Desulfovibrio_piger_ATCC_29098,Desulfovibrio_piger_ATCC_29098,Enterobacter_cloacae_EcWSU1,Enterobacter_cloacae_EcWSU1,Escherichia_coli_str_K_12_substr_MG1655,Escherichia_coli_str_K_12_substr_MG1655,Haemophilus_parainfluenzae_T3T1,Haemophilus_parainfluenzae_T3T1,Helicobacter_pylori_26695,Helicobacter_pylori_26695,Klebsiella_pneumoniae_pneumoniae_MGH78578,Klebsiella_pneumoniae_pneumoniae_MGH78578,Shigella_flexneri_2002017,Shigella_flexneri_2002017,Akkermansia_muciniphila_ATCC_BAA_835,Akkermansia_muciniphila_ATCC_BAA_835,Fusobacterium_varium_ATCC_27725,Fusobacterium_varium_ATCC_27725
9,OMCDC,27,OMCDC,26,ACHBPL,26,PGK,26,KDOPP,18,PANTS,18,A5PISO,18,PGK,26,PGM,25,IPPMIb,26,PGK,26,TMDS,23,IPMDr,28,GF6PTA,26,IPMDr,28,OMCDC,25,PGMT,19,OMCDC,24,OMCDC,26,TPI,22,ILETA,26,ILETA,26,HEPT4,17,TPI,19,ACGAMT,17,3MOBS,25,ACLS_a,26,KDOPP,17,FE3tex,18,IPMDr,27,FE2tex,19,ACHBPL,26,IPMDr,26,ALAPGPL,17,sink_PGPm1c,20,TPI,20,OMCDC,27,IPPMIa,25,G5SADs,25,IPMDr,26,DHAD2,26,ILETA,27,G5SADs,26,TDPGDH,17,ILETA,26,G5SADs,26,ACHBPL,26,FE2abcpp,19,ILETA,26,ILETA,26,KDOPP,18,FE2tex,18
10,DHAD2,26,PGM,26,PGM,26,ILETA,26,A5PISO,18,ENO,18,KDOPP,18,PGMT,26,ENO,25,PGM,25,3MOBS,25,PGK,22,OMCDC,28,OMCDC,25,3MOBS,26,G5SADs,25,FE2tex,19,ENO,23,GLU5K,26,sink_PGPm1c,21,IPPMIb,26,3MOBS,25,KDOCT2,17,G3PD1,18,ALAPGPL,17,GAPD,24,ACHBPL,25,KDOPSr,17,KDOPSr,18,ILETA,27,FE2abcpp,19,ACLS_a,26,ENO,26,ACGAMT,17,FE2tex,18,PPNDH,18,IPMDr,27,ACLS_a,25,ACHBPL,25,ACHBPL,25,ACHBPL,25,ACLS_a,27,ILETA,26,GHMT2r,17,ACLS_a,26,IPMDr,26,ENO,25,A5PISO,18,IPPMIa,26,G5SADs,26,SO4t2pp,18,RPE,18
11,IPMDr,26,ILETA,25,DHAD2,26,ACLS_a,26,KDOPSr,18,A5PISO,18,KDOPSr,18,3MOBS,25,PGK,25,ENO,25,ENO,25,sink_PGPm1c,21,ENO,27,3MOBS,24,PGM,25,3MOBS,24,FE2abcpp,19,3MOBS,23,G5SDr,26,FE2tex,18,IPPMIa,26,DHAD2,25,USHD,17,FE2tex,18,FE2abcpp,17,ENO,23,DHAD2,25,r2137,17,KDOPP,18,DHAD2,26,KDOPSr,18,DHAD2,26,IPPMIb,26,FE2abcpp,17,FE2abcpp,18,FE2tex,18,IPPMIb,27,ACHBPL,25,DHAD2,25,GAPD,25,3MOBS,25,IPMDr,27,IPMDr,26,EDTXS1,17,G5SADs,25,IPPMIb,26,IPMDr,25,SO4t2pp,18,IPPMIb,26,IPMDr,26,A5PISO,18,KDOPP,18
12,ACLS_a,26,IPPMIb,25,IPPMIa,26,ACHBPL,25,SO4t2pp,18,ASP1DC,18,RPE,18,PGM,24,GAPD,24,3MOBS,24,PGM,24,GAPD,21,3MOBS,26,ENO,23,ENO,25,PGM,24,TPI,19,PGM,22,DHAD2,26,FE2abcpp,18,IPMDr,26,ACHBPL,25,UHGADA,17,FE2abcpp,18,CDPGLYCGPT,17,G5SDr,23,3MOBS,24,UAG4E,17,FE3abcpp,18,IPPMIb,26,KDOPP,18,3MOBS,25,DHAD2,26,KDOPSr,17,TECAAE,17,FE2abcpp,18,ILETA,26,3MOBS,23,P5CRyr,24,G5SADs,25,ACLS_a,25,ACHBPL,26,IPPMIa,26,CU2tex,17,ACHBPL,25,ACLS_a,26,IPPMIb,25,KDOPSr,18,OMCDC,26,IPPMIa,26,KDOPSr,18,KDOPSr,18
13,LEUTA,26,ACHBPL,25,IPPMIb,26,3MOBS,25,CLtex,17,FE3abcpp,18,PGMT,18,ENO,24,TMDS,23,TPI,22,TMDS,22,ENO,20,TPI,23,TMDS,23,GF6PTA,23,ENO,24,A5PISO,18,TMDS,22,ILETA,26,A5PISO,18,ACLS_a,26,sink_PGPm1c,21,LPADSS,17,KDOPSr,17,FE2tex,17,P5CRyr,23,GAPD,21,UAG2E,17,AGMHE,17,IPPMIa,26,A5PISO,18,PGK,25,OMCDC,26,SO4t2pp,17,UAG4E,17,PHETA1,18,ACLS_a,25,GAPD,21,GLU5K,23,DHAD2,25,sink_PGPm1c,21,IPPMIa,26,ACHBPL,25,S7PIr,17,IPPMIa,25,IPPMIa,26,PGM,25,KDOPP,18,G5SADs,25,IPPMIb,26,LPADSS,17,MOAT,17
14,ILETA,26,LEUTA,25,OMCDC,26,DHAD2,25,TDPGDH,17,FE3tex,18,SO4t2pp,18,TPI,22,sink_PGPm1c,21,TMDS,22,GF6PTA,22,PGM,20,TMDS,22,PGM,22,TMDS,22,G5SDr,23,KDOPP,18,TPI,21,ACHBPL,26,PPNDH,18,G5SADs,25,PGK,19,MG2tex,17,A5PISO,17,Cuabc,17,PGK,23,ENO,21,UACMAMAT,17,Ktex,17,ACHBPL,25,SO4t2pp,18,PGM,22,PGM,26,G3PCT,17,UAG2E,17,TECA4S,17,ACHBPL,25,sink_PGPm1c,21,G5SDr,23,ENO,25,THRD_L,19,IPPMIb,26,DHAD2,25,UAGAAT,17,IPMDr,25,ILETA,26,GAPD,25,FE3abcpp,18,ACLS_a,25,OMCDC,26,Ktex,17,EDTXS2,17
15,G5SADs,25,G5SADs,24,IPMDr,26,ENO,24,CA2tex,17,GAPD,18,LPADSS,17,TMDS,22,FE2tex,19,GF6PTA,21,PGMT,21,FE2tex,19,sink_PGPm1c,21,sink_PGPm1c,21,TPI,22,P5CRyr,23,KDOPSr,18,sink_PGPm1c,20,ACLS_a,25,KDOPSr,18,ACHBPL,25,PGM,18,MN2tex,17,ACGAMT,17,G3PCT,17,GLU5K,23,PGM,21,TECA4S,17,KDOCT2,17,G5SADs,25,RPE,18,ENO,22,ACLS_a,25,TECAAE,17,UACMAMAT,17,TECAAE,17,G5SADs,25,PGM,20,sink_PGPm1c,21,PGM,25,FE2tex,19,DHAD2,26,ENO,25,UHGADA,17,IPPMIb,25,3MOBS,25,3MOBS,24,AGMHE,17,TPI,25,ACHBPL,25,MOAT,17,CDOSKT,17
16,ACHBPL,25,IPMDr,24,PGMT,25,PGM,23,TDPDRE,17,KDOCT2,17,HEPK1,17,sink_PGPm1c,20,FE2abcpp,19,sink_PGPm1c,20,sink_PGPm1c,20,FE2abcpp,19,FE2tex,19,TPI,19,sink_PGPm1c,20,GLU5K,23,SO4t2pp,18,FE2tex,19,3MOBS,25,KDOPP,18,DHAD2,25,ENO,18,MOAT3C,17,ALAPGPL,17,A5PISO,17,ACLS_a,22,PGK,21,TECAGE,17,HEPT4,17,PGK,25,PGK,18,GAPD,22,G5SADs,25,FE2tex,17,TECAUE,17,KDOPSr,17,DHAD2,25,PGK,20,TPI,19,3MOBS,24,FE2abcpp,19,G5SADs,25,PGM,25,USHD,17,DHAD2,24,DHAD2,25,PGK,24,CA2tex,17,DHAD2,25,DHAD2,25,KDOCT2,17,G3PD1,17
17,3MOBS,25,IPPMIa,24,G5SADs,25,sink_PGPm1c,20,Cuabcpp,17,Cuabcpp,17,HEPT3,17,FE2abcpp,19,A5PISO,18,FE2tex,19,TPI,20,SO4t2pp,18,FE2abcpp,19,FE2abcpp,19,FE2tex,19,TMDS,22,USHD,17,FE2abcpp,19,sink_PGPm1c,21,SO4t2pp,18,3MOBS,24,FE2tex,18,TDPGDH,17,CDPGLYCGPT,17,TECAUE,17,PGM,22,sink_PGPm1c,21,TECAAE,17,HEPT3,17,3MOBS,24,GLCTR2,17,sink_PGPm1c,21,3MOBS,24,A5PISO,17,FE3abcpp,17,KDOPP,17,3MOBS,25,ENO,20,THRD_L,18,PGK,24,SO4t2pp,18,3MOBS,24,3MOBS,24,ZN2tex,17,3MOBS,24,ACHBPL,25,TMDS,23,GLCTR2,17,ACHBPL,25,G5SDr,24,HEPT4,17,USHD,17
18,GLU5K,24,3MOBS,24,3MOBS,24,FE2abcpp,19,CU2tex,17,HEPT4,17,MOAT3C,17,FE2tex,19,KDOPP,18,FE2abcpp,19,FE2tex,19,TPI,18,KDOPP,18,FE2tex,19,FE2abcpp,19,TPI,20,TDSK,17,A5PISO,18,THRD_L,19,PHETA1,18,TMDS,23,THRD_L,18,RHAT1,17,Cuabc,17,TECAGE,17,DHAD2,21,THRD_L,19,ALAPGPL,17,HEPT2,17,GLU5K,23,MG2tex,17,THRD_L,19,TPI,23,TECA4S,17,TECA4S,17,r2137,17,P5CRyr,23,FE2tex,18,FE3tex,18,GLU5K,23,KDOPSr,18,G5SDr,24,G5SDr,24,r2137pp,17,G5SDr,23,G5SDr,24,sink_PGPm1c,20,GLCTR1,17,3MOBS,24,GLU5K,24,MG2tex,17,CLtex,17
19,G5SDr,24,TPI,23,G5SDr,23,FE2tex,19,COBALT2tex,17,Ktex,17,HEPT2,17,GF6PTA,19,SO4t2pp,18,KDOPP,18,FE2abcpp,19,KDOPSr,18,SO4t2pp,18,NAPRT,18,A5PISO,18,sink_PGPm1c,20,S7PIr,17,KDOPP,18,FE3tex,19,UACMAMAT,17,G5SDr,23,FE2abcpp,18,UAGAAT,17,KDOPP,17,UAG4E,17,sink_PGPm1c,21,TPI,18,PGPGT,17,LPADSS,17,G5SDr,23,GMHEPK,17,FE2abcpp,18,G5SDr,23,r2137,17,Cuabc,17,FE3abcpp,17,GLU5K,23,FE2abcpp,18,A5PISO,17,G5SDr,23,KDOPP,18,GLU5K,24,GLU5K,24,Cuabcpp,17,GLU5K,23,GLU5K,24,FE2abcpp,19,RHAT1,17,G5SDr,23,P5CRyr,24,HEPT2,17,COBALT2tex,17
20,P5CRyr,23,P5CRyr,23,P5CRyr,23,THRD_L,18,ACGAMT,17,CU2tex,17,HEPT1,17,SO4t2pp,18,KDOPSr,18,A5PISO,18,SO4t2pp,18,A5PISO,18,KDOPSr,18,SO4t2pp,18,SO4t2pp,18,FE2tex,19,TDPDRE,17,KDOPSr,18,PGK,18,TECA4S,17,GLU5K,23,TECAGE,17,HEPT2,17,G3PCT,17,UAG2E,17,ACHBPL,21,FE2abcpp,18,Cuabc,17,HEPT1,17,P5CRyr,23,GMHEPPA,17,PGMT,18,GLU5K,23,PGPGT,17,PGPGT,17,ACGAMT,17,G5SDr,23,THRD_L,18,r2137,17,P5CRyr,23,A5PISO,18,TPI,23,P5CRyr,24,TECA4S,17,P5CRyr,23,P5CRyr,24,FE2tex,19,GALT1,17,P5CRyr,23,3MOBS,24,HEPT1,17,CU2tex,17
21,TPI,23,GLU5K,23,GLU5K,23,SO4t2pp,18,TDPDRRr,17,LPADSS,17,HEPK2,17,KDOPSr,18,S7PIr,17,SO4t2pp,18,KDOPSr,18,KDOPP,18,A5PISO,18,KDOPSr,18,KDOPP,18,FE2abcpp,19,HEPK1,17,FE3abcpp,18,KDOPP,18,TECAAE,17,TPI,23,TECAAE,17,S7PIr,17,TECA4S,17,UACMAMAT,17,ILETA,21,FE2tex,18,A5PISO,17,MG2tex,17,sink_PGPm1c,20,HEPK1,17,FE2tex,18,P5CRyr,23,TECAGE,17,SO4t2pp,17,ALAPGPL,17,GF6PTA,22,UACMAMAT,17,TECA4S,17,sink_PGPm1c,21,FE3abcpp,18,P5CRyr,23,TMDS,22,TECAAE,17,sink_PGPm1c,21,TPI,22,THRD_L,18,COBALT2tex,17,TMDS,23,TPI,23,HEPK2,17,Cuabcpp,17
